Year,North America,South and Central America,Europe and Eurasia,Middle East,Africa,Asia Pacific,Total Oil Production
2015,905.8,392.4,831.4,1317.6,399.0,397.8,4244.0
2020,1045.0,442.7,843.7,1270.5,438.7,400.2,4440.8
2025,1087.8,501.4,841.5,1392.2,445.3,381.0,4649.2
2030,1135.3,549.8,816.1,1498.5,434.4,364.0,4798.1
2035,1154.8,566.9,803.3,1566.2,436.1,356.4,4883.7
